ax;ay;az;temp;dax;day;daz;iax;iay;iaz;norm
-0.79;-0.03;0.32;224818;0.53;3.92;-1.50;-15.32;-1.85;7.31;0.74
-0.82;0.25;0.14;224818;-0.26;2.87;-1.79;-15.40;-1.82;7.32;0.76
-0.78;0.14;0.38;224818;0.39;-1.15;2.37;-15.48;-1.81;7.36;0.78
-0.77;0.28;0.37;224818;0.10;1.37;-0.08;-15.56;-1.78;7.39;0.81
-0.82;0.02;0.34;224818;-0.48;-2.54;-0.32;-15.64;-1.78;7.43;0.79
-0.83;-0.07;0.32;224818;-0.08;-0.91;-0.23;-15.72;-1.79;7.46;0.79
-0.80;-0.51;0.45;224818;0.31;-4.42;1.36;-15.80;-1.84;7.51;1.10
-0.72;-0.70;0.59;224819;0.74;-1.88;1.38;-15.87;-1.91;7.57;1.36
-0.81;-0.22;0.37;224819;-0.87;4.79;-2.26;-15.95;-1.93;7.60;0.84
-0.83;-0.02;0.33;224819;-0.24;1.99;-0.34;-16.04;-1.93;7.64;0.81
-0.84;-0.05;0.30;224855;0.00;0.00;0.00;-0.08;-0.00;0.03;0.79
-0.83;-0.05;0.31;224855;0.08;-0.05;0.06;-0.17;-0.01;0.06;0.78
-0.81;-0.40;0.41;224855;0.16;-3.47;0.98;-0.25;-0.05;0.10;0.98
-0.80;-0.53;0.51;224855;0.17;-1.33;1.01;-0.33;-0.10;0.15;1.17
-0.85;-0.51;0.45;224855;-0.53;0.27;-0.54;-0.41;-0.15;0.20;1.18
-0.82;-0.06;0.32;224855;0.26;4.50;-1.38;-0.49;-0.16;0.23;0.78
-0.78;-0.15;0.42;224855;0.43;-0.94;1.04;-0.57;-0.17;0.27;0.80
-0.74;0.07;0.30;224855;0.34;2.18;-1.16;-0.65;-0.17;0.30;0.65
-0.76;0.49;0.28;224855;-0.19;4.18;-0.29;-0.72;-0.12;0.33;0.90
-0.87;-0.02;0.36;224856;-1.10;-5.07;0.86;-0.81;-0.12;0.37;0.89
-0.83;-0.07;0.27;224856;0.38;-0.46;-0.89;-0.89;-0.13;0.39;0.78
-0.83;-0.39;0.42;224856;0.05;-3.27;1.49;-0.98;-0.17;0.43;1.02
-0.79;-0.64;0.57;224856;0.45;-2.49;1.46;-1.06;-0.23;0.49;1.35
-0.84;-0.38;0.45;224856;-0.51;2.61;-1.14;-1.14;-0.27;0.54;1.05
-0.83;0.05;0.25;224856;0.05;4.31;-2.01;-1.22;-0.26;0.56;0.76
-0.82;0.52;0.14;224856;0.10;4.75;-1.15;-1.30;-0.21;0.58;0.97
-0.78;0.52;0.33;224856;0.42;-0.04;1.91;-1.38;-0.16;0.61;0.99
-0.82;0.31;0.29;224856;-0.40;-2.15;-0.38;-1.46;-0.13;0.64;0.85
-0.83;-0.02;0.31;224856;-0.07;-3.20;0.21;-1.55;-0.13;0.67;0.78
-0.83;0.01;0.27;224857;-0.02;0.22;-0.45;-1.63;-0.13;0.70;0.76
-0.80;-0.48;0.46;224857;0.26;-4.84;1.98;-1.71;-0.18;0.74;1.09
-0.81;-0.52;0.50;224857;-0.09;-0.46;0.35;-1.79;-0.23;0.79;1.18
-0.84;-0.47;0.44;224857;-0.32;0.53;-0.57;-1.87;-0.28;0.84;1.13
-0.83;-0.08;0.33;224857;0.12;3.87;-1.08;-1.96;-0.29;0.87;0.81
-0.84;0.44;-0.00;224857;-0.06;5.21;-3.37;-2.04;-0.24;0.87;0.89
-0.72;0.18;0.36;224857;1.15;-2.57;3.68;-2.11;-0.22;0.91;0.69
-0.74;0.49;0.24;224857;-0.22;3.09;-1.26;-2.19;-0.17;0.93;0.85
-0.85;0.01;0.35;224857;-1.03;-4.82;1.13;-2.27;-0.17;0.97;0.84
-0.86;-0.05;0.28;224857;-0.12;-0.62;-0.71;-2.36;-0.18;0.99;0.82
-0.81;-0.33;0.43;224858;0.46;-2.75;1.52;-2.44;-0.21;1.04;0.96
-0.77;-0.75;0.57;224858;0.48;-4.18;1.34;-2.52;-0.29;1.09;1.46
-0.80;-0.37;0.41;224858;-0.38;3.78;-1.58;-2.60;-0.32;1.13;0.95
-0.86;-0.08;0.29;224858;-0.57;2.87;-1.24;-2.68;-0.33;1.16;0.83
-0.90;0.35;0.31;224858;-0.42;4.30;0.27;-2.77;-0.30;1.19;1.03
-0.76;0.21;0.40;224858;1.46;-1.43;0.87;-2.85;-0.28;1.23;0.77
-0.76;0.42;0.26;224858;0.00;2.18;-1.36;-2.92;-0.23;1.26;0.82
-0.84;0.09;0.33;224858;-0.79;-3.33;0.70;-3.01;-0.22;1.29;0.82
-0.86;-0.06;0.29;224858;-0.28;-1.48;-0.40;-3.09;-0.23;1.32;0.84
-0.80;-0.30;0.42;224858;0.61;-2.45;1.27;-3.17;-0.26;1.37;0.91
-0.79;-0.63;0.52;224859;0.10;-3.29;1.00;-3.25;-0.32;1.42;1.30
-0.83;-0.41;0.44;224859;-0.43;2.20;-0.84;-3.34;-0.36;1.46;1.06
-0.84;-0.16;0.35;224859;-0.08;2.49;-0.91;-3.42;-0.38;1.50;0.86
-0.93;1.13;-0.03;224859;-0.88;12.96;-3.77;-3.51;-0.27;1.49;2.15
-0.73;0.07;0.54;224859;1.99;-10.60;5.70;-3.59;-0.26;1.55;0.83
-0.72;0.46;0.24;224859;0.16;3.87;-3.02;-3.66;-0.21;1.57;0.78
-0.83;0.06;0.32;224859;-1.18;-4.00;0.85;-3.74;-0.21;1.60;0.80
-0.85;-0.06;0.29;224859;-0.18;-1.21;-0.33;-3.83;-0.21;1.63;0.81
-0.80;-0.38;0.43;224859;0.48;-3.18;1.39;-3.91;-0.25;1.67;0.97
-0.77;-0.71;0.55;224859;0.31;-3.33;1.23;-3.99;-0.32;1.73;1.41
-0.83;-0.38;0.40;22490;-0.54;3.33;-1.53;-4.07;-0.36;1.77;0.99
-0.81;0.03;0.26;22490;0.21;4.10;-1.33;-4.15;-0.36;1.80;0.72
-0.75;0.23;0.36;22490;0.52;1.95;0.99;-4.23;-0.34;1.83;0.75
-0.72;0.02;0.54;22490;0.35;-2.02;1.77;-4.30;-0.33;1.89;0.81
-0.73;0.48;0.24;22490;-0.09;4.60;-2.99;-4.37;-0.28;1.91;0.82
-0.84;0.04;0.36;22490;-1.12;-4.47;1.22;-4.45;-0.28;1.95;0.84
-0.86;-0.01;0.27;22490;-0.22;-0.48;-0.89;-4.54;-0.28;1.97;0.82
-0.81;-0.24;0.37;22490;0.57;-2.30;1.01;-4.62;-0.31;2.01;0.85
-0.78;-0.63;0.53;22490;0.28;-3.87;1.59;-4.70;-0.37;2.06;1.29
-0.81;-0.53;0.46;22490;-0.26;0.98;-0.70;-4.78;-0.42;2.11;1.14
-0.85;-0.15;0.34;22491;-0.42;3.84;-1.25;-4.86;-0.44;2.14;0.85
-0.85;0.55;-0.10;22491;-0.02;6.99;-4.34;-4.95;-0.38;2.13;1.04
-0.74;0.07;0.48;22491;1.06;-4.86;5.81;-5.02;-0.37;2.18;0.79
-0.73;0.52;0.21;22491;0.13;4.54;-2.72;-5.10;-0.32;2.20;0.85
-0.86;0.02;0.35;22491;-1.32;-5.05;1.33;-5.18;-0.32;2.24;0.86
-0.87;-0.06;0.27;22491;-0.06;-0.75;-0.73;-5.27;-0.33;2.27;0.83
-0.81;-0.36;0.43;22491;0.55;-2.99;1.62;-5.35;-0.36;2.31;0.98
-0.79;-0.62;0.54;22491;0.27;-2.58;1.11;-5.43;-0.42;2.36;1.30
-0.81;-0.40;0.43;22491;-0.27;2.15;-1.18;-5.51;-0.46;2.41;1.01
-0.84;-0.13;0.33;22491;-0.23;2.76;-1.01;-5.59;-0.48;2.44;0.82
-0.81;0.12;0.40;22492;0.23;2.42;0.70;-5.68;-0.47;2.48;0.83
-0.79;-0.02;0.34;22492;0.25;-1.35;-0.57;-5.76;-0.47;2.51;0.74
-0.76;0.50;0.28;22492;0.32;5.20;-0.62;-5.83;-0.42;2.54;0.90
-0.88;0.06;0.35;22492;-1.24;-4.38;0.70;-5.92;-0.41;2.58;0.90
-0.85;0.01;0.26;22492;0.32;-0.49;-0.84;-6.00;-0.41;2.60;0.79
-0.81;-0.16;0.34;22492;0.36;-1.74;0.74;-6.08;-0.43;2.64;0.80
-0.81;-0.56;0.50;22492;0.02;-3.99;1.62;-6.17;-0.48;2.68;1.22
-0.81;-0.37;0.45;22492;0.01;1.87;-0.45;-6.25;-0.52;2.73;1.00
-0.82;-0.32;0.42;22492;-0.10;0.48;-0.29;-6.33;-0.55;2.77;0.96
-0.81;0.01;0.26;22492;0.06;3.34;-1.61;-6.41;-0.55;2.80;0.73
-0.76;0.53;0.21;22493;0.51;5.20;-0.51;-6.49;-0.50;2.82;0.91
-0.78;0.53;0.30;22493;-0.14;-0.01;0.89;-6.56;-0.44;2.85;0.97
-0.76;-0.02;0.33;22493;0.12;-5.49;0.26;-6.64;-0.45;2.88;0.69
-0.85;0.00;0.26;22493;-0.82;0.23;-0.65;-6.72;-0.45;2.91;0.78
-0.81;-0.12;0.33;22493;0.40;-1.21;0.67;-6.81;-0.46;2.94;0.77
-0.79;-0.61;0.51;22493;0.16;-4.88;1.76;-6.88;-0.52;2.99;1.25
-0.81;-0.40;0.48;22493;-0.18;2.05;-0.25;-6.96;-0.56;3.04;1.04
